Transaction ID,Subscription ID,Transaction Type,Transaction Status,Escrow Status,Created Datetime,Created Timezone,Settlement Date,Disbursement Date,Merchant Account,Currency ISO Code,Amount Authorized,Amount Submitted For Settlement,Service Fee,Tax Amount,Tax Exempt,Purchase Order Number,Order ID,Descriptor Name,Descriptor Phone,Descriptor URL,Refunded Transaction ID,Payment Instrument Type,Card Type,Cardholder Name,First Six of Credit Card,Last Four of Credit Card,Credit Card Number,Expiration Date,Credit Card Customer Location,Customer ID,Payment Method Token,Credit Card Unique Identifier,Customer First Name,Customer Last Name,Customer Company,Customer Email,Customer Phone,Customer Fax,Customer Website,Billing Address ID,Billing First Name,Billing Last Name,Billing Company,Billing Street Address,Billing Extended Address,Billing City (Locality),Billing State/Province (Region),Billing Postal Code,Billing Country,Shipping Address ID,Shipping First Name,Shipping Last Name,Shipping Company,Shipping Street Address,Shipping Extended Address,Shipping City (Locality),Shipping State/Province (Region),Shipping Postal Code,Shipping Country,User,IP Address,Creating Using Token,Transaction Source,Authorization Code,Processor Response Code,Processor Response Text,Gateway Rejection Reason,Postal Code Response Code,Street Address Response Code,AVS Response Text,CVV Response Code,CVV Response Text,Settlement Amount,Settlement Currency ISO Code,Settlement Currency Exchange Rate,Settlement Base Currency Exchange Rate,Settlement Batch ID,Fraud Detected,Disputed Date,Authorized Transaction ID,Country of Issuance,Issuing Bank,Durbin Regulated,Commercial,Prepaid,Payroll,Healthcare,Affluent Category,Debit,Product ID,3DS - Status,3DS - PARes Status,3DS - ECI Flag,3DS - CAVV,3DS - Signature Verification,3DS - Version,3DS - XID,3DS - DS Transaction ID,3DS - Challenge Requested,3DS - Exemption Requested,3DS - SCA Exemption Type,3DS - Merchant Requested SCA exemption,PayPal Payer Email,PayPal Payment ID,PayPal Authorization ID,PayPal Debug ID,PayPal Capture ID,PayPal Refund ID,PayPal Custom Field,PayPal Payer ID,PayPal Payer First Name,PayPal Payer Last Name,PayPal Seller Protection Status,PayPal Transaction Fee Amount,PayPal Transaction Fee Currency ISO Code,PayPal Refund From Transaction Fee Amount,PayPal Refund From Transaction Fee Currency ISO Code,PayPal Payee Email,PayPal Payee ID,Apple Pay Card Last Four,Apple Pay Card Expiration Month,Apple Pay Card Expiration Year,Apple Pay Cardholder Name,Android Pay Source Card Last Four,Android Pay Source Card Type,Source Card Last Four,Acquirer Reference Number,Venmo Username
0q0eaq8g,,sale,settled,,08/26/2021 13:29:44,CDT,08/26/2021,08/27/2021,travelpayments,USD,10.00,10.00,,,false,,,,,,,Credit Card,Visa,,401288,1881,401288******1881,12/2022,US,,,,,,,,,,,,,,,,,,,94107,,,,,,,,,,,,Travell.williams@getbraintree.com,173.224.163.121,No,API,YLQBD7,1000,Approved,,M,I,Street Address not provided (I). Postal Code matches (M).,M,Matches (M).,10.00,USD,1,1,2021-08-26_travelpayments_5rhmf5ax,,,,Unknown,Unknown,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,non_authenticated_transaction,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,
24f5r607,,sale,settled,,08/26/2021 13:29:04,CDT,08/26/2021,08/27/2021,travelpayments,USD,10.00,10.00,,,false,,,,,,,Credit Card,Visa,,401288,1881,401288******1881,12/2022,US,,,,,,,,,,,,,,,,,,,94107,,,,,,,,,,,,Travell.williams@getbraintree.com,173.224.163.121,No,API,8C2D9G,1000,Approved,,M,I,Street Address not provided (I). Postal Code matches (M).,M,Matches (M).,10.00,USD,1,1,2021-08-26_travelpayments_5rhmf5ax,,,,Unknown,Unknown,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,non_authenticated_transaction,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,
2a8afdpe,,sale,settled,,08/26/2021 13:29:41,CDT,08/26/2021,08/27/2021,travelpayments,USD,10.00,10.00,,,false,,,,,,,Credit Card,Visa,,401288,1881,401288******1881,12/2022,US,,,,,,,,,,,,,,,,,,,94107,,,,,,,,,,,,Travell.williams@getbraintree.com,173.224.163.121,No,API,FJXR6V,1000,Approved,,M,I,Street Address not provided (I). Postal Code matches (M).,M,Matches (M).,10.00,USD,1,1,2021-08-26_travelpayments_5rhmf5ax,,,,Unknown,Unknown,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,non_authenticated_transaction,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,
2g1f6ncn,,sale,settled,,08/26/2021 13:29:35,CDT,08/26/2021,08/27/2021,travelpayments,USD,10.00,10.00,,,false,,,,,,,Credit Card,Visa,,401288,1881,401288******1881,12/2022,US,,,,,,,,,,,,,,,,,,,94107,,,,,,,,,,,,Travell.williams@getbraintree.com,173.224.163.121,No,API,YD46LP,1000,Approved,,M,I,Street Address not provided (I). Postal Code matches (M).,M,Matches (M).,10.00,USD,1,1,2021-08-26_travelpayments_5rhmf5ax,,,,Unknown,Unknown,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,non_authenticated_transaction,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,
35h5aphf,,sale,settled,,08/26/2021 13:29:56,CDT,08/26/2021,08/27/2021,travelpayments,USD,10.00,10.00,,,false,,,,,,,Credit Card,Visa,,401288,1881,401288******1881,12/2022,US,,,,,,,,,,,,,,,,,,,94107,,,,,,,,,,,,Travell.williams@getbraintree.com,173.224.163.121,No,API,GYH4BX,1000,Approved,,M,I,Street Address not provided (I). Postal Code matches (M).,M,Matches (M).,10.00,USD,1,1,2021-08-26_travelpayments_5rhmf5ax,,,,Unknown,Unknown,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,non_authenticated_transaction,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,
4j5ebpf5,,sale,settled,,08/26/2021 13:29:19,CDT,08/26/2021,08/27/2021,travelpayments,USD,10.00,10.00,,,false,,,,,,,Credit Card,Visa,,401288,1881,401288******1881,12/2022,US,,,,,,,,,,,,,,,,,,,94107,,,,,,,,,,,,Travell.williams@getbraintree.com,173.224.163.121,No,API,J831YP,1000,Approved,,M,I,Street Address not provided (I). Postal Code matches (M).,M,Matches (M).,10.00,USD,1,1,2021-08-26_travelpayments_5rhmf5ax,,,,Unknown,Unknown,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,non_authenticated_transaction,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,
6192j2ty,,sale,settled,,08/26/2021 13:29:24,CDT,08/26/2021,08/27/2021,travelpayments,USD,10.00,10.00,,,false,,,,,,,Credit Card,Visa,,401288,1881,401288******1881,12/2022,US,,,,,,,,,,,,,,,,,,,94107,,,,,,,,,,,,Travell.williams@getbraintree.com,173.224.163.121,No,API,LWQS0Z,1000,Approved,,M,I,Street Address not provided (I). Postal Code matches (M).,M,Matches (M).,10.00,USD,1,1,2021-08-26_travelpayments_5rhmf5ax,,,,Unknown,Unknown,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,non_authenticated_transaction,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,
6tx0me1x,,sale,settled,,08/26/2021 13:29:27,CDT,08/26/2021,08/27/2021,travelpayments,USD,10.00,10.00,,,false,,,,,,,Credit Card,Visa,,401288,1881,401288******1881,12/2022,US,,,,,,,,,,,,,,,,,,,94107,,,,,,,,,,,,Travell.williams@getbraintree.com,173.224.163.121,No,API,G9R5KW,1000,Approved,,M,I,Street Address not provided (I). Postal Code matches (M).,M,Matches (M).,10.00,USD,1,1,2021-08-26_travelpayments_5rhmf5ax,,,,Unknown,Unknown,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,non_authenticated_transaction,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,
75mvpema,,sale,settled,,08/26/2021 13:29:57,CDT,08/26/2021,08/27/2021,travelpayments,USD,10.00,10.00,,,false,,,,,,,Credit Card,Visa,,401288,1881,401288******1881,12/2022,US,,,,,,,,,,,,,,,,,,,94107,,,,,,,,,,,,Travell.williams@getbraintree.com,173.224.163.121,No,API,67C4K5,1000,Approved,,M,I,Street Address not provided (I). Postal Code matches (M).,M,Matches (M).,10.00,USD,1,1,2021-08-26_travelpayments_5rhmf5ax,,,,Unknown,Unknown,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,non_authenticated_transaction,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,
83d1q3xe,,sale,settled,,08/26/2021 13:29:32,CDT,08/26/2021,08/27/2021,travelpayments,USD,10.00,10.00,,,false,,,,,,,Credit Card,Visa,,401288,1881,401288******1881,12/2022,US,,,,,,,,,,,,,,,,,,,94107,,,,,,,,,,,,Travell.williams@getbraintree.com,173.224.163.121,No,API,0SZ29C,1000,Approved,,M,I,Street Address not provided (I). Postal Code matches (M).,M,Matches (M).,10.00,USD,1,1,2021-08-26_travelpayments_5rhmf5ax,,,,Unknown,Unknown,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,non_authenticated_transaction,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,
a5h0w4zy,,sale,settled,,08/26/2021 13:29:21,CDT,08/26/2021,08/27/2021,travelpayments,USD,10.00,10.00,,,false,,,,,,,Credit Card,Visa,,401288,1881,401288******1881,12/2022,US,,,,,,,,,,,,,,,,,,,94107,,,,,,,,,,,,Travell.williams@getbraintree.com,173.224.163.121,No,API,Q4JT5X,1000,Approved,,M,I,Street Address not provided (I). Postal Code matches (M).,M,Matches (M).,10.00,USD,1,1,2021-08-26_travelpayments_5rhmf5ax,,,,Unknown,Unknown,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,non_authenticated_transaction,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,
aafq6xw4,,sale,settled,,08/26/2021 13:29:52,CDT,08/26/2021,08/27/2021,travelpayments,USD,10.00,10.00,,,false,,,,,,,Credit Card,Visa,,401288,1881,401288******1881,12/2022,US,,,,,,,,,,,,,,,,,,,94107,,,,,,,,,,,,Travell.williams@getbraintree.com,173.224.163.121,No,API,K8WG2L,1000,Approved,,M,I,Street Address not provided (I). Postal Code matches (M).,M,Matches (M).,10.00,USD,1,1,2021-08-26_travelpayments_5rhmf5ax,,,,Unknown,Unknown,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,non_authenticated_transaction,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,
